BudgetID,FiscalYear,Quarter,Period,Department,CostCenter,Category,BudgetAmount,RevisedBudget,ActualSpend,Variance,VariancePct,Currency,ApprovedBy,Status,Notes
BUD-2024-FIN-Q1-01,2024,Q1,01,Finance,CC-FIN-01,Personnel,280000.00,280000.00,245000.00,35000.00,12.50,USD,cfo,Active,January payroll - under budget
BUD-2024-FIN-Q1-02,2024,Q1,01,Finance,CC-FIN-01,Technology,45000.00,45000.00,40320.40,4679.60,10.40,USD,cfo,Active,IT subscriptions + cloud
BUD-2024-FIN-Q1-03,2024,Q1,01,Finance,CC-FIN-01,Facilities,32000.00,32000.00,28500.00,3500.00,10.94,USD,cfo,Active,Rent within budget
BUD-2024-FIN-Q1-04,2024,Q1,01,Finance,CC-FIN-01,Professional Fees,25000.00,25000.00,18500.00,6500.00,26.00,USD,cfo,Active,Legal fees under forecast
BUD-2024-FIN-Q1-05,2024,Q1,01,Finance,CC-FIN-01,Other,15000.00,15000.00,10256.25,4743.75,31.63,USD,cfo,Active,Petty cash + charges
BUD-2024-OPS-Q1-01,2024,Q1,01,Operations,CC-OPS-01,Raw Materials,200000.00,220000.00,179900.00,40100.00,18.23,USD,coo,Active,Revised up for demand spike
BUD-2024-OPS-Q1-02,2024,Q1,01,Operations,CC-OPS-02,Inventory,80000.00,80000.00,71500.00,8500.00,10.63,USD,coo,Active,
BUD-2024-OPS-Q1-03,2024,Q1,01,Operations,CC-OPS-01,Utilities,18000.00,18000.00,14190.00,3810.00,21.17,USD,coo,Active,Electricity + water savings
BUD-2024-OPS-Q1-04,2024,Q1,01,Operations,CC-OPS-03,Maintenance,25000.00,25000.00,19000.00,6000.00,24.00,USD,coo,Active,Scheduled maintenance below estimate
BUD-2024-OPS-Q1-05,2024,Q1,01,Operations,CC-OPS-02,Freight,20000.00,20000.00,21100.00,-1100.00,-5.50,USD,coo,Active,Over budget - additional shipments
BUD-2024-HR-Q1-01,2024,Q1,01,HR,CC-HR-01,Salaries,450000.00,450000.00,443000.00,7000.00,1.56,USD,chro,Active,
BUD-2024-HR-Q1-02,2024,Q1,01,HR,CC-HR-01,Benefits,55000.00,55000.00,51300.00,3700.00,6.73,USD,chro,Active,Health + dental
BUD-2024-HR-Q1-03,2024,Q1,01,HR,CC-HR-02,Training,20000.00,20000.00,12500.00,7500.00,37.50,USD,chro,Active,Training program delayed
BUD-2024-HR-Q1-04,2024,Q1,01,HR,CC-HR-03,Contractors,60000.00,60000.00,55000.00,5000.00,8.33,USD,chro,Active,
BUD-2024-IT-Q1-01,2024,Q1,01,IT,CC-IT-01,Cloud Services,40000.00,40000.00,34591.20,5408.80,13.52,USD,cto,Active,AWS + Azure costs
BUD-2024-IT-Q1-02,2024,Q1,01,IT,CC-IT-01,Software Licenses,35000.00,35000.00,31300.00,3700.00,10.57,USD,cto,Active,Annual renewals
BUD-2024-IT-Q1-03,2024,Q1,01,IT,CC-IT-02,Hardware,50000.00,55000.00,77700.00,-22700.00,-41.27,USD,cto,Active,Budget exceeded - emergency laptop refresh
BUD-2024-IT-Q1-04,2024,Q1,01,IT,CC-IT-01,Security,12000.00,12000.00,8900.00,3100.00,25.83,USD,cto,Active,
BUD-2024-MKT-Q1-01,2024,Q1,01,Marketing,CC-MKT-01,Advertising,55000.00,55000.00,48250.00,6750.00,12.27,USD,cmo,Active,Digital + print campaigns
BUD-2024-MKT-Q1-02,2024,Q1,01,Marketing,CC-MKT-01,Events,40000.00,40000.00,35000.00,5000.00,12.50,USD,cmo,Active,Conference sponsorship
BUD-2024-MKT-Q1-03,2024,Q1,01,Marketing,CC-MKT-02,Digital,25000.00,25000.00,30800.00,-5800.00,-23.20,USD,cmo,Active,Over budget - expanded digital presence
BUD-2024-MKT-Q1-04,2024,Q1,01,Marketing,CC-MKT-02,Research,18000.00,18000.00,14000.00,4000.00,22.22,USD,cmo,Active,
BUD-2024-SAL-Q1-01,2024,Q1,01,Sales,CC-SAL-01,Commissions,85000.00,85000.00,79800.00,5200.00,6.12,USD,cso,Active,Q4 payout + Feb accrual
BUD-2024-SAL-Q1-02,2024,Q1,01,Sales,CC-SAL-01,Travel,15000.00,15000.00,8940.00,6060.00,40.40,USD,cso,Active,Reduced travel - virtual meetings
BUD-2024-SAL-Q1-03,2024,Q1,01,Sales,CC-SAL-02,Tools & CRM,35000.00,35000.00,31500.00,3500.00,10.00,USD,cso,Active,Salesforce license on budget
BUD-2024-LEG-Q1-01,2024,Q1,01,Legal,CC-LEG-01,Legal Fees,30000.00,30000.00,18500.00,11500.00,38.33,USD,clco,Active,Lower external counsel usage
BUD-2024-LEG-Q1-02,2024,Q1,01,Legal,CC-LEG-01,Compliance,12000.00,12000.00,9500.00,2500.00,20.83,USD,clco,Active,Audit fees below estimate
BUD-UNPLANNED-001,2024,Q1,01,IT,CC-IT-02,Hardware,0.00,0.00,22700.00,-22700.00,-100.00,USD,,Exception,Unplanned hardware spend - requires CFO approval
BUD-UNPLANNED-002,2024,Q1,01,Operations,CC-OPS-02,Freight,0.00,0.00,1100.00,-1100.00,-100.00,USD,,Exception,Over budget - additional import shipments
